source,notice_id,title,solicitation_number,department,sub_tier,office,full_parent_path_name,posted_date,response_deadline,notice_type,base_type,archive_type,naics_code,classification_code,active,ui_link,description,search_name,search_keyword,search_naics,search_ptype,first_seen,last_seen,query_hits
SAM.gov,dd80beb700064228bce842d4c7309456,"15B11826Q00000008 4TH QTR FY 26 SUBSISTENCE (BREAD, DAIRY, EGG)",15B11826Q00000008,,,,"JUSTICE, DEPARTMENT OF.FEDERAL PRISON SYSTEM / BUREAU OF PRISONS.USP BIG SANDY",2026-05-22,2026-06-05T16:00:00-04:00,Solicitation,Presolicitation,auto15,311511,8910,Yes,https://sam.gov/workspace/contract/opp/dd80beb700064228bce842d4c7309456/view,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=dd80beb700064228bce842d4c7309456,DOE Environmental Consulting - Solicitation,Department of Energy,541620,o,2026-05-22,2026-05-22,DOE Environmental Consulting - Solicitation
SAM.gov,ab67a3f6c479422c933185ba47b82ed0,36--ECG REFURBISH KIT,N0010426RFC99,,,,DEPT OF DEFENSE.DEPT OF THE NAVY.NAVSUP.NAVSUP WEAPON SYSTEMS SUPPORT.NAVSUP WSS MECHANICSBURG.NAVSUP WEAPON SYSTEMS SUPPORT MECH,2026-05-22,2026-06-22T14:00:00-04:00,Solicitation,Solicitation,auto15,333998,3655,Yes,https://sam.gov/workspace/contract/opp/ab67a3f6c479422c933185ba47b82ed0/view,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=ab67a3f6c479422c933185ba47b82ed0,DOE Environmental Consulting - Solicitation,Department of Energy,541620,o,2026-05-22,2026-05-22,DOE A-E - Solicitation | DOE Environmental Consulting - Solicitation | NNSA Engineering Services - Solicitation
SAM.gov,c79948fe874446478872e5247fecee0e,"43--PUMP UNIT,ROTARY",N0010426QBT58,,,,DEPT OF DEFENSE.DEPT OF THE NAVY.NAVSUP.NAVSUP WEAPON SYSTEMS SUPPORT.NAVSUP WSS MECHANICSBURG.NAVSUP WEAPON SYSTEMS SUPPORT MECH,2026-05-22,2026-05-27T16:30:00-04:00,Solicitation,Solicitation,auto15,333914,4320,Yes,https://sam.gov/workspace/contract/opp/c79948fe874446478872e5247fecee0e/view,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=c79948fe874446478872e5247fecee0e,DOE Environmental Consulting - Solicitation,Department of Energy,541620,o,2026-05-22,2026-05-22,DOE A-E - Solicitation | DOE Environmental Consulting - Solicitation | NNSA Engineering Services - Solicitation
SAM.gov,e8f12891d07f40ea8344a27d5fd5661e,"48--VALVE,DIRECTIONAL O",N0038325RC240,,,,DEPT OF DEFENSE.DEPT OF THE NAVY.NAVSUP.NAVSUP WEAPON SYSTEMS SUPPORT.NAVSUP WSS PHILADELPHIA.NAVSUP WEAPON SYSTEMS SUPPORT,2026-05-22,2026-06-12T14:00:00-04:00,Solicitation,Solicitation,auto15,332919,4820,Yes,https://sam.gov/workspace/contract/opp/e8f12891d07f40ea8344a27d5fd5661e/view,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=e8f12891d07f40ea8344a27d5fd5661e,DOE Environmental Consulting - Solicitation,Department of Energy,541620,o,2026-05-22,2026-05-22,DOE A-E - Solicitation | DOE Environmental Consulting - Solicitation | NNSA Engineering Services - Solicitation
SAM.gov,cc2e679d323540a08d1a92a3471a00f1,"58 - Towed Array, Sonar",SPRMM1-26-Q-KD10,,,,DEPT OF DEFENSE.DEFENSE LOGISTICS AGENCY.DLA MARITIME.DLA MARITIME MECHANICSBURG.SPRMM1 DLA MECHANICSBURG,2026-05-22,2026-06-02T16:30:00-04:00,Solicitation,Solicitation,auto15,334111,5845,Yes,https://sam.gov/workspace/contract/opp/cc2e679d323540a08d1a92a3471a00f1/view,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=cc2e679d323540a08d1a92a3471a00f1,DOE Environmental Consulting - Solicitation,Department of Energy,541620,o,2026-05-22,2026-05-22,DOE A-E - Solicitation | DOE Environmental Consulting - Solicitation | NNSA Engineering Services - Solicitation
SAM.gov,99ae20f3c0694816aed7fbf0a7cade5c,"58--CONTROL,CONVERTER",SPRPA126RXA86,,,,"DEPT OF DEFENSE.DEFENSE LOGISTICS AGENCY.DLA AVIATION.DLA AVIATION PHILADELPHIA.DLA AVIATION AT PHILADELPHIA, PA",2026-05-22,2026-06-22T14:00:00-04:00,Solicitation,Solicitation,auto15,334290,7G20,Yes,https://sam.gov/workspace/contract/opp/99ae20f3c0694816aed7fbf0a7cade5c/view,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=99ae20f3c0694816aed7fbf0a7cade5c,DOE A-E - Solicitation,architect engineer,541330,o,2026-05-22,2026-05-22,DOE A-E - Solicitation
SAM.gov,df90cc090a614f0ab5a292ea3e7d78b2,58--TOWED ARRAY SUBASEM,N0010426QNA04,,,,DEPT OF DEFENSE.DEPT OF THE NAVY.NAVSUP.NAVSUP WEAPON SYSTEMS SUPPORT.NAVSUP WSS MECHANICSBURG.NAVSUP WEAPON SYSTEMS SUPPORT MECH,2026-05-22,2026-05-29T16:30:00-04:00,Solicitation,Solicitation,auto15,334290,5845,Yes,https://sam.gov/workspace/contract/opp/df90cc090a614f0ab5a292ea3e7d78b2/view,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=df90cc090a614f0ab5a292ea3e7d78b2,DOE Environmental Consulting - Solicitation,Department of Energy,541620,o,2026-05-22,2026-05-22,DOE A-E - Solicitation | DOE Environmental Consulting - Solicitation | NNSA Engineering Services - Solicitation
SAM.gov,6d2e792fa9ed495fbd5572fd58c7a38d,6350--CRRC X-Ray and Magnetometer Security (VA-26-00036534),36C10X26Q0175,,,,"VETERANS AFFAIRS, DEPARTMENT OF.VETERANS AFFAIRS, DEPARTMENT OF.SAC FREDERICK (36C10X)",2026-05-22,2026-06-06T14:00:00-04:00,Sources Sought,Sources Sought,autocustom,334519,6350,Yes,https://sam.gov/workspace/contract/opp/6d2e792fa9ed495fbd5572fd58c7a38d/view,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=6d2e792fa9ed495fbd5572fd58c7a38d,Hanford Engineering Services,Hanford,541330,r,2026-05-22,2026-05-22,DOE Environmental Consulting - Sources Sought | Hanford Engineering Services | Oak Ridge Engineering Services | Savannah River Engineering Services | Y-12 Engineering Services
SAM.gov,b64ea81f487942489edb91c81857b0f9,99--DOG ASSY,N0010426QSC67,,,,DEPT OF DEFENSE.DEPT OF THE NAVY.NAVSUP.NAVSUP WEAPON SYSTEMS SUPPORT.NAVSUP WSS MECHANICSBURG.NAVSUP WEAPON SYSTEMS SUPPORT MECH,2026-05-22,2026-06-22T16:30:00-04:00,Solicitation,Solicitation,auto15,333998,9999,Yes,https://sam.gov/workspace/contract/opp/b64ea81f487942489edb91c81857b0f9/view,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=b64ea81f487942489edb91c81857b0f9,DOE Environmental Consulting - Solicitation,Department of Energy,541620,o,2026-05-22,2026-05-22,DOE A-E - Solicitation | DOE Environmental Consulting - Solicitation | NNSA Engineering Services - Solicitation
SAM.gov,c2c76c3910e743a2b5a18f5f134a78bd,99--DUCT ASSEMBLY-ROTOM,N0038326QQB00,,,,DEPT OF DEFENSE.DEPT OF THE NAVY.NAVSUP.NAVSUP WEAPON SYSTEMS SUPPORT.NAVSUP WSS PHILADELPHIA.NAVSUP WEAPON SYSTEMS SUPPORT,2026-05-22,2026-06-22T16:30:00-04:00,Solicitation,Solicitation,auto15,333998,9999,Yes,https://sam.gov/workspace/contract/opp/c2c76c3910e743a2b5a18f5f134a78bd/view,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=c2c76c3910e743a2b5a18f5f134a78bd,DOE Environmental Consulting - Solicitation,Department of Energy,541620,o,2026-05-22,2026-05-22,DOE A-E - Solicitation | DOE Environmental Consulting - Solicitation | NNSA Engineering Services - Solicitation
