source,notice_id,title,solicitation_number,department,sub_tier,office,full_parent_path_name,posted_date,response_deadline,notice_type,base_type,archive_type,naics_code,classification_code,active,ui_link,description,search_name,search_keyword,search_naics,search_ptype,first_seen,last_seen,query_hits
SAM.gov,fce4f184e5de49d1b893aa5e6c418d49,DC HIPOT 80KV 10MA,SPRMM126QHC97,,,,DEPT OF DEFENSE.DEFENSE LOGISTICS AGENCY.DLA MARITIME.DLA MARITIME MECHANICSBURG.SPRMM1 DLA MECHANICSBURG,2026-05-22,2026-06-12T16:30:00-04:00,Solicitation,Solicitation,auto15,333998,99,Yes,https://sam.gov/workspace/contract/opp/fce4f184e5de49d1b893aa5e6c418d49/view,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=fce4f184e5de49d1b893aa5e6c418d49,DOE A-E - Solicitation,architect engineer,541330,o,2026-05-22,2026-05-22,DOE A-E - Solicitation
SAM.gov,fc06a1bb352e4c988f0797913d1849a4,"SHAFT,SHOULDERED",SPRPA126QRB59,,,,"DEPT OF DEFENSE.DEFENSE LOGISTICS AGENCY.DLA AVIATION.DLA AVIATION PHILADELPHIA.DLA AVIATION AT PHILADELPHIA, PA",2026-05-22,2026-06-08T16:30:00-04:00,Solicitation,Solicitation,auto15,333613,3040,Yes,https://sam.gov/workspace/contract/opp/fc06a1bb352e4c988f0797913d1849a4/view,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=fc06a1bb352e4c988f0797913d1849a4,DOE A-E - Solicitation,architect engineer,541330,o,2026-05-22,2026-05-22,DOE A-E - Solicitation
SAM.gov,fadd213d7d6741ab9133ffa12dfa4528,"ONE (1) 150 METRIC TON MOBILE BOAT HOIST, NSWCCD, NORFOLK VA",N6247026R0007,,,,DEPT OF DEFENSE.DEPT OF THE NAVY.NAVFAC.NAVFAC ATLANTIC CMD.NAVFACSYSCOM ATLANTIC,2026-05-22,2026-07-22T16:00:00-04:00,Solicitation,Solicitation,autocustom,333923,3950,Yes,https://sam.gov/workspace/contract/opp/fadd213d7d6741ab9133ffa12dfa4528/view,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=fadd213d7d6741ab9133ffa12dfa4528,DOE A-E - Solicitation,architect engineer,541330,o,2026-05-22,2026-05-22,DOE A-E - Solicitation
SAM.gov,f8e98c510fc94aa899d74ff02ea7a9ed,MSHA - Skydio X10 Drone,1605C4-26-N-00006,,,,"LABOR, DEPARTMENT OF.OFFICE OF THE ASSISTANT SECRETARY FOR ADMINISTRATION AND MANAGEMENT.DOL - CAS DIVISION 4 PROCUREMENT",2026-05-22,2026-06-01T09:00:00-04:00,Solicitation,Solicitation,autocustom,336411,1550,Yes,https://sam.gov/workspace/contract/opp/f8e98c510fc94aa899d74ff02ea7a9ed/view,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=f8e98c510fc94aa899d74ff02ea7a9ed,DOE A-E - Solicitation,architect engineer,541330,o,2026-05-22,2026-05-22,DOE A-E - Solicitation
SAM.gov,f34513dc3a5a4d3c8cdf4bb6235e34d6,"Roof, Windows and Exterior Doors Replacement – Residential House , Prague 6, Czech Republic",19EZ8026Q0008,,,,"STATE, DEPARTMENT OF.STATE, DEPARTMENT OF.US EMBASSY PRAGUE",2026-05-22,2026-06-20T17:00:00+02:00,Solicitation,Solicitation,autocustom,236118,Z2FZ,Yes,https://sam.gov/workspace/contract/opp/f34513dc3a5a4d3c8cdf4bb6235e34d6/view,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=f34513dc3a5a4d3c8cdf4bb6235e34d6,DOE A-E - Solicitation,architect engineer,541330,o,2026-05-22,2026-05-22,DOE A-E - Solicitation
SAM.gov,f32d99e26f594e7d8a8164f1644049b5,Request for Whitepapers: AEDC Velocity Alliance - A Multi-Billion Dollar OTA Consortium Opportunity,FA9101-26-9-Velocity_Alliance,,,,DEPT OF DEFENSE.DEPT OF THE AIR FORCE.AIR FORCE MATERIEL COMMAND.AIR FORCE TEST CENTER.FA9101  AEDC PKP   PROCRMNT BR,2026-05-22,2030-09-30T17:00:00-05:00,Solicitation,Solicitation,auto15,541330,AC13,Yes,https://sam.gov/workspace/contract/opp/f32d99e26f594e7d8a8164f1644049b5/view,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=f32d99e26f594e7d8a8164f1644049b5,DOE A-E - Solicitation,architect engineer,541330,o,2026-05-22,2026-05-22,DOE A-E - Solicitation
SAM.gov,f2a58c8a751a4c0594a70c5acc0254a1,RESISTOR ASSEMBLY,SPRMM126QGE08,,,,DEPT OF DEFENSE.DEFENSE LOGISTICS AGENCY.DLA MARITIME.DLA MARITIME MECHANICSBURG.SPRMM1 DLA MECHANICSBURG,2026-05-22,2026-07-06T16:30:00-04:00,Solicitation,Solicitation,auto15,334416,5905,Yes,https://sam.gov/workspace/contract/opp/f2a58c8a751a4c0594a70c5acc0254a1/view,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=f2a58c8a751a4c0594a70c5acc0254a1,DOE A-E - Solicitation,architect engineer,541330,o,2026-05-22,2026-05-22,DOE A-E - Solicitation
SAM.gov,ef51d6138ac24ab482d36e534ca9bfab,RFQ# 19PK33-26-Q-7080 Subject Matter Experts for U.S. Speaker  Program,19PK33-26-Q-7080,,,,"STATE, DEPARTMENT OF.STATE, DEPARTMENT OF.US EMBASSY ISLAMABAD",2026-05-22,2026-06-22T15:00:00+05:00,Solicitation,Solicitation,autocustom,611430,R408,Yes,https://sam.gov/workspace/contract/opp/ef51d6138ac24ab482d36e534ca9bfab/view,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=ef51d6138ac24ab482d36e534ca9bfab,DOE A-E - Solicitation,architect engineer,541330,o,2026-05-22,2026-05-22,DOE A-E - Solicitation
SAM.gov,ee75d1a740de4d08ab7edb2453db60b4,"PUMP,RECIPG",N0010426QSD10,,,,DEPT OF DEFENSE.DEPT OF THE NAVY.NAVSUP.NAVSUP WEAPON SYSTEMS SUPPORT.NAVSUP WSS MECHANICSBURG.NAVSUP WEAPON SYSTEMS SUPPORT MECH,2026-05-22,2026-06-08T16:30:00-04:00,Solicitation,Solicitation,auto15,333998,99,Yes,https://sam.gov/workspace/contract/opp/ee75d1a740de4d08ab7edb2453db60b4/view,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=ee75d1a740de4d08ab7edb2453db60b4,DOE A-E - Solicitation,architect engineer,541330,o,2026-05-22,2026-05-22,DOE A-E - Solicitation
SAM.gov,ecd9e0619a8b487a959e8a9fc1824bb6,DSCR B66D Restroom and Conference Room Repairs,SP470326Q0049,,,,DEPT OF DEFENSE.DEFENSE LOGISTICS AGENCY.DCSO.DCSO RICHMOND.DCSO RICHMOND DIVISION #1,2026-05-22,2026-06-19T23:59:00-04:00,Solicitation,Presolicitation,auto15,236220,Y1AA,Yes,https://sam.gov/workspace/contract/opp/ecd9e0619a8b487a959e8a9fc1824bb6/view,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=ecd9e0619a8b487a959e8a9fc1824bb6,DOE A-E - Solicitation,architect engineer,541330,o,2026-05-22,2026-05-22,DOE A-E - Solicitation
