run_date,posted_from,posted_to,queries,calls_made,records_returned_this_run,master_active_unique_records,new_unique_today,throttled,searches
2026-05-19,05/05/2026,05/19/2026,Department of Energy engineering services,1,100,100,100,False,
2026-05-19,05/05/2026,05/19/2026,Department of Energy architect engineer,1,100,100,0,False,
2026-05-19,04/19/2026,05/19/2026,,1,50,148,48,False,Manual - architect engineer
2026-05-19,04/19/2026,05/19/2026,,1,50,148,0,False,Manual - architect engineer
2026-05-19,04/19/2026,05/19/2026,,1,50,148,0,False,Manual - architect engineer
2026-05-19,04/19/2026,05/19/2026,,1,50,148,0,False,Manual - architect engineer
2026-05-19,04/19/2026,05/19/2026,,1,50,148,0,False,Manual - architect engineer
2026-05-19,04/19/2026,05/19/2026,,1,50,148,0,False,Manual - architect engineer
2026-05-19,04/19/2026,05/19/2026,,1,50,152,4,False,Manual - Department of Energy
2026-05-19,04/19/2026,05/19/2026,,1,50,152,0,False,Manual - NNSA
2026-05-19,04/19/2026,05/19/2026,,1,50,152,0,False,Manual - architect engineer
2026-05-19,04/19/2026,05/19/2026,,1,50,152,0,False,Manual - architect engineer
2026-05-19,04/19/2026,05/19/2026,,1,50,152,0,False,Manual - Department of Energy
2026-05-19,04/19/2026,05/19/2026,,1,50,152,0,False,Manual - Department of Energy
2026-05-19,04/19/2026,05/19/2026,,1,50,152,0,False,Manual - NNSA
2026-05-19,04/04/2026,05/19/2026,,1,50,152,0,False,Manual - Oak Ridge
2026-05-19,04/04/2026,05/19/2026,,1,50,152,0,False,Manual - Savannah River
2026-05-19,04/04/2026,05/19/2026,,3,150,185,33,True,DOE Engineering Services - Sources Sought | DOE Engineering Services - Solicitation | DOE A-E - Sources Sought | DOE A-E - Solicitation | NNSA Engineering Services - Sources Sought | NNSA Engineering Services - Solicitation | NNSA A-E - Sources Sought | DOE Architectural Services - Sources Sought | DOE Architectural Services - Solicitation | DOE Environmental Consulting - Sources Sought | DOE Environmental Consulting - Solicitation | DOE Technical Consulting - Sources Sought | DOE Technical Consulting - Solicitation | Oak Ridge Engineering Services | Y-12 Engineering Services | Savannah River Engineering Services | Hanford Engineering Services | Idaho National Laboratory Engineering Services | Los Alamos Engineering Services | Sandia Engineering Services | Pantex Engineering Services | DOE Fire Protection Engineering | DOE Facility Modernization Engineering | DOE Mechanical Engineering | DOE Electrical Engineering | DOE Civil Structural Engineering
2026-05-22,04/07/2026,05/22/2026,,10,500,313,128,True,DOE A-E - Solicitation | NNSA Engineering Services - Sources Sought | NNSA Engineering Services - Solicitation | NNSA A-E - Sources Sought | DOE Architectural Services - Sources Sought | DOE Architectural Services - Solicitation | DOE Environmental Consulting - Sources Sought | DOE Environmental Consulting - Solicitation | DOE Technical Consulting - Sources Sought | DOE Technical Consulting - Solicitation | Oak Ridge Engineering Services | Y-12 Engineering Services | Savannah River Engineering Services | Hanford Engineering Services | Idaho National Laboratory Engineering Services | Los Alamos Engineering Services | Sandia Engineering Services | Pantex Engineering Services | DOE Fire Protection Engineering | DOE Facility Modernization Engineering | DOE Mechanical Engineering | DOE Electrical Engineering | DOE Civil Structural Engineering
