review_priority,action_today,customer_market,go_no_go_score,recommendation,pursuit_type,drop_reason,risk_flags,title,department,sub_tier,office,full_parent_path_name,posted_date,response_deadline,days_until_deadline,clean_naics,naics_code,classification_code,notice_type,base_type,search_name,search_keyword,search_naics,search_ptype,query_hits,ui_link,score_rationale,description,source,notice_id,solicitation_number,archive_type,active,first_seen,last_seen,days_until_deadline_sort,review_priority_sort
4 - Low Priority,No action,DoD / Defense Infrastructure,41,Low Priority,Early Capture / Sources Sought,No strong A/E or engineering-services language,Scope may not be A/E or engineering services,Sources Sought - Property Accountability Support Services at NUWCDIVKPT,,,,DEPT OF DEFENSE.DEPT OF THE NAVY.NAVSEA.NAVSEA WARFARE CENTER.NAVSEALOGCENKYPTDIVNUWC  MECH PA,2026-05-21,2026-06-05T15:00:00-04:00,14.0,541330,541330,R706,Sources Sought,Sources Sought,NNSA A-E - Sources Sought,architect engineer,541330,r,NNSA A-E - Sources Sought | NNSA Engineering Services - Sources Sought,https://sam.gov/workspace/contract/opp/d7eaea484d34448788d4b7f3748cd41e/view,Target professional services NAICS 541330: Engineering Services | No strong A/E-engineering language detected | Non-DOE market classification: DoD / Defense Infrastructure | Early capture indicator: sources sought | Sources sought/RFI is useful for shaping | Workable deadline: 14 days,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=d7eaea484d34448788d4b7f3748cd41e,SAM.gov,d7eaea484d34448788d4b7f3748cd41e,N6572626RTBD,auto15,Yes,2026-05-22,2026-05-22,14.0,4
5 - Drop,No action,DoD / Defense Infrastructure,32,No-Go,Active Solicitation,No strong A/E or engineering-services language,Check set-aside status / prime eligibility | Scope may not be A/E or engineering services,Request for Whitepapers: AEDC Velocity Alliance - A Multi-Billion Dollar OTA Consortium Opportunity,,,,DEPT OF DEFENSE.DEPT OF THE AIR FORCE.AIR FORCE MATERIEL COMMAND.AIR FORCE TEST CENTER.FA9101  AEDC PKP   PROCRMNT BR,2026-05-22,2030-09-30T17:00:00-05:00,1592.0,541330,541330,AC13,Solicitation,Solicitation,DOE Environmental Consulting - Solicitation,Department of Energy,541620,o,DOE A-E - Solicitation | DOE Environmental Consulting - Solicitation | NNSA Engineering Services - Solicitation,https://sam.gov/workspace/contract/opp/f32d99e26f594e7d8a8164f1644049b5/view,Target professional services NAICS 541330: Engineering Services | No strong A/E-engineering language detected | Non-DOE market classification: DoD / Defense Infrastructure | Active solicitation | Small business/team potential: 8a | Workable deadline: 1592 days,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=f32d99e26f594e7d8a8164f1644049b5,SAM.gov,f32d99e26f594e7d8a8164f1644049b5,FA9101-26-9-Velocity_Alliance,auto15,Yes,2026-05-22,2026-05-22,1592.0,5
5 - Drop,No action,DoD / Defense Infrastructure,31,No-Go,Early Capture / Sources Sought,No strong A/E or engineering-services language,Scope may not be A/E or engineering services,NSWC IHD Professional Facility Support Service,,,,DEPT OF DEFENSE.DEPT OF THE NAVY.NAVSEA.NAVSEA WARFARE CENTER.NSWC INDIAN HEAD DIVISION,2026-05-21,2026-06-04T14:00:00-04:00,13.0,541330,541330,R425,Sources Sought,Sources Sought,Hanford Engineering Services,Hanford,541330,r,DOE Environmental Consulting - Sources Sought | Hanford Engineering Services | NNSA A-E - Sources Sought | NNSA Engineering Services - Sources Sought | Oak Ridge Engineering Services | Savannah River Engineering Services | Y-12 Engineering Services,https://sam.gov/workspace/contract/opp/f1376562261b430dbfa0ad9d53d3b281/view,Target professional services NAICS 541330: Engineering Services | No strong A/E-engineering language detected | Non-DOE market classification: DoD / Defense Infrastructure | Sources sought/RFI is useful for shaping | Workable deadline: 13 days,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=f1376562261b430dbfa0ad9d53d3b281,SAM.gov,f1376562261b430dbfa0ad9d53d3b281,N0017426RFPREQ1020111,auto15,Yes,2026-05-22,2026-05-22,13.0,5
5 - Drop,No action,DoD / Defense Infrastructure,26,No-Go,Early Capture / Sources Sought,No strong A/E or engineering-services language,Scope may not be A/E or engineering services,"Shore Based Training, Engineering, and Development Support (SBEDS)",,,,DEPT OF DEFENSE.DEPT OF THE NAVY.NAVSEA.NAVSEA WARFARE CENTER.NSWC DAHLGREN,2026-05-19,2026-05-29T12:00:00-04:00,7.0,541330,541330,R425,Sources Sought,Sources Sought,DOE A-E - Sources Sought,architect engineer,541330,r,DOE A-E - Sources Sought | DOE A-E - Sources Sought | DOE Engineering Services - Sources Sought | Manual - Department of Energy | Manual - Department of Energy | Manual - Department of Energy | Manual - Department of Energy | Manual - Department of Energy | Manual - architect engineer | Manual - NNSA | Manual - NNSA | Manual - architect engineer | Manual - architect engineer | Manual - architect engineer | Manual - NNSA | Manual - NNSA | Manual - Oak Ridge | Manual - Oak Ridge | Manual - Savannah River | Manual - Savannah River,https://sam.gov/workspace/contract/opp/a8189b94ad964e23a0fa8da6e320078d/view,Target professional services NAICS 541330: Engineering Services | No strong A/E-engineering language detected | Non-DOE market classification: DoD / Defense Infrastructure | Sources sought/RFI is useful for shaping | Near-term deadline: 7 days,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=a8189b94ad964e23a0fa8da6e320078d,SAM.gov,a8189b94ad964e23a0fa8da6e320078d,N0017826R3108,auto15,Yes,2026-05-19,2026-05-22,7.0,5
5 - Drop,No action,DoD / Defense Infrastructure,24,No-Go,Early Capture / Sources Sought,,Adjacent NAICS; verify engineering scope,Fuel and Lubricants Engineering Services and Support,,,,DEPT OF DEFENSE.DEPT OF THE ARMY.AMC.ACC.ACC-CTRS.ACC-DTA.W6QK ACC- DTA,2026-05-22,2026-05-29T17:00:00-04:00,7.0,541715,541715,AC12,Sources Sought,Sources Sought,Hanford Engineering Services,Hanford,541330,r,DOE Environmental Consulting - Sources Sought | Hanford Engineering Services | Oak Ridge Engineering Services | Savannah River Engineering Services | Y-12 Engineering Services,https://sam.gov/workspace/contract/opp/eb986047b65846b4a38c573d8beb633e/view,Secondary/adjacent NAICS 541715: R&D in Nanotechnology / Engineering / Life Sciences | A/E-engineering language: engineering services | Non-DOE market classification: DoD / Defense Infrastructure | Sources sought/RFI is useful for shaping | Near-term deadline: 7 days,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=eb986047b65846b4a38c573d8beb633e,SAM.gov,eb986047b65846b4a38c573d8beb633e,W912CH26R_Fuel_Lubricant_Testing,auto15,Yes,2026-05-22,2026-05-22,7.0,5
5 - Drop,No action,DOE / NNSA,23,No-Go,Early Capture / Sources Sought,Non-target NAICS: 518210,NAICS does not clearly match A/E services | Scope may not be A/E or engineering services,R--Request for Information (RFI) for COTS ERM System,,,,"ENERGY, DEPARTMENT OF.ENERGY, DEPARTMENT OF.HEADQUARTERS PROCUREMENT SERVICES",2026-05-19,2026-06-03T10:00:00-04:00,12.0,518210,518210,R617,Sources Sought,Sources Sought,DOE A-E - Sources Sought,architect engineer,541330,r,DOE A-E - Sources Sought | DOE A-E - Sources Sought | DOE Engineering Services - Sources Sought | Manual - Department of Energy | Manual - Department of Energy | Manual - Department of Energy | Manual - Department of Energy | Manual - Department of Energy | Manual - architect engineer | Manual - NNSA | Manual - NNSA | Manual - architect engineer | Manual - architect engineer | Manual - architect engineer | Manual - NNSA | Manual - NNSA | Manual - Oak Ridge | Manual - Oak Ridge | Manual - Savannah River | Manual - Savannah River,https://sam.gov/workspace/contract/opp/d618890a0f39444b886917ecb367236f/view,"Non-target NAICS: 518210 | No strong A/E-engineering language detected | Customer market classified as DOE / NNSA | Discipline/capability fit: energy | Early capture indicator: request for information, rfi | Sources sought/RFI is useful for shaping | Workable deadline: 12 days",https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=d618890a0f39444b886917ecb367236f,SAM.gov,d618890a0f39444b886917ecb367236f,89303026NGC000016,autocustom,Yes,2026-05-19,2026-05-22,12.0,5
5 - Drop,No action,USACE / Federal Infrastructure,22,No-Go,Active Solicitation,No strong A/E or engineering-services language,Adjacent NAICS; verify engineering scope | Check set-aside status / prime eligibility | Scope may not be A/E or engineering services,"ELECTRICAL SWITCHING STATION NORTH, WATERVLIET ARSENAL, NEW YORK",,,,DEPT OF DEFENSE.DEPT OF THE ARMY.US ARMY CORPS OF ENGINEERS.ENGINEER DIVISION NORTH ATLANTIC.ENDIST NEW YORK.W2SD ENDIST NEW YORK,2026-05-19,2026-06-03T14:00:00-04:00,12.0,236220,236220,Y1EZ,Solicitation,Solicitation,DOE Engineering Services - Solicitation,Department of Energy,541330,o,DOE Engineering Services - Solicitation,https://sam.gov/workspace/contract/opp/d3118f96265c4a58a651ecc880788a9d/view,Secondary/adjacent NAICS 236220: Commercial and Institutional Building Construction | No strong A/E-engineering language detected | Adjacent federal A/E market: USACE / Federal Infrastructure | Discipline/capability fit: electrical | Active solicitation | Small business/team potential: 8a | Workable deadline: 12 days,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=d3118f96265c4a58a651ecc880788a9d,SAM.gov,d3118f96265c4a58a651ecc880788a9d,W912DS26RA015,auto15,Yes,2026-05-19,2026-05-22,12.0,5
5 - Drop,No action,DoD / Defense Infrastructure,20,No-Go,Early Capture / Sources Sought,No strong A/E or engineering-services language,Adjacent NAICS; verify engineering scope | Check set-aside status / prime eligibility | Scope may not be A/E or engineering services,Sources Sought: Construct Combat Rescue Helicopter Simulator Facility at Moffett ANGB,,,,DEPT OF DEFENSE.DEPT OF THE ARMY.NATIONAL GUARD BUREAU.JFHQ USPFO CA.USPFO CA PROCUREMENT.W7MX USPFO ACTIVITY CAANG 129,2026-05-19,2026-06-02T14:00:00-07:00,11.0,236220,236220,Y1AZ,Sources Sought,Sources Sought,DOE A-E - Sources Sought,architect engineer,541330,r,DOE A-E - Sources Sought | DOE A-E - Sources Sought | DOE Engineering Services - Sources Sought | Manual - Department of Energy | Manual - Department of Energy | Manual - Department of Energy | Manual - Department of Energy | Manual - Department of Energy | Manual - architect engineer | Manual - NNSA | Manual - NNSA | Manual - architect engineer | Manual - architect engineer | Manual - architect engineer | Manual - NNSA | Manual - NNSA | Manual - Oak Ridge | Manual - Oak Ridge | Manual - Savannah River | Manual - Savannah River,https://sam.gov/workspace/contract/opp/abc4faef8a1a4e338ac539ecdba0c7c5/view,Secondary/adjacent NAICS 236220: Commercial and Institutional Building Construction | No strong A/E-engineering language detected | Non-DOE market classification: DoD / Defense Infrastructure | Early capture indicator: sources sought | Sources sought/RFI is useful for shaping | Small business/team potential: 8a | Workable deadline: 11 days,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=abc4faef8a1a4e338ac539ecdba0c7c5,SAM.gov,abc4faef8a1a4e338ac539ecdba0c7c5,QMSN179066,auto15,Yes,2026-05-19,2026-05-22,11.0,5
5 - Drop,No action,USACE / Federal Infrastructure,17,No-Go,Early Capture / Sources Sought,No strong A/E or engineering-services language,Adjacent NAICS; verify engineering scope | Scope may not be A/E or engineering services,"FY27 Maintenance Dredging, Yokohama North Dock Yokohama, Kanagawa, Japan",,,,DEPT OF DEFENSE.DEPT OF THE ARMY.US ARMY CORPS OF ENGINEERS.ENGINEER DIVISION PACIFIC OCEAN.ENDIST JAPAN.W2SN ENDIST JAPAN,2026-05-19,2026-06-15T14:00:00,24.0,237990,237990,Z1KF,Sources Sought,Sources Sought,DOE A-E - Sources Sought,architect engineer,541330,r,DOE A-E - Sources Sought | DOE A-E - Sources Sought | DOE Engineering Services - Sources Sought | Manual - Department of Energy | Manual - Department of Energy | Manual - Department of Energy | Manual - Department of Energy | Manual - Department of Energy | Manual - architect engineer | Manual - NNSA | Manual - NNSA | Manual - architect engineer | Manual - architect engineer | Manual - architect engineer | Manual - NNSA | Manual - NNSA | Manual - Oak Ridge | Manual - Oak Ridge | Manual - Savannah River | Manual - Savannah River,https://sam.gov/workspace/contract/opp/b57f637ea55c423e84cf0c58e252ed88/view,Secondary/adjacent NAICS 237990: Other Heavy and Civil Engineering Construction | No strong A/E-engineering language detected | Adjacent federal A/E market: USACE / Federal Infrastructure | Sources sought/RFI is useful for shaping | Workable deadline: 24 days,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=b57f637ea55c423e84cf0c58e252ed88,SAM.gov,b57f637ea55c423e84cf0c58e252ed88,W912HV26Z0015,autocustom,Yes,2026-05-19,2026-05-22,24.0,5
5 - Drop,No action,USACE / Federal Infrastructure,17,No-Go,Early Capture / Sources Sought,No strong A/E or engineering-services language,Adjacent NAICS; verify engineering scope | Scope may not be A/E or engineering services,Renovate AERO Lab at USAFA,,,,DEPT OF DEFENSE.DEPT OF THE ARMY.US ARMY CORPS OF ENGINEERS.ENGINEER DIVISION NORTHWESTERN.ENDIST OMAHA.W071 ENDIST OMAHA,2026-05-22,2026-06-22T14:00:00-06:00,31.0,236220,236220,,Sources Sought,Sources Sought,Hanford Engineering Services,Hanford,541330,r,DOE Environmental Consulting - Sources Sought | Hanford Engineering Services | Oak Ridge Engineering Services | Savannah River Engineering Services | Y-12 Engineering Services,https://sam.gov/workspace/contract/opp/114ed73bb9564c69a0fa7ec61b0defe0/view,Secondary/adjacent NAICS 236220: Commercial and Institutional Building Construction | No strong A/E-engineering language detected | Adjacent federal A/E market: USACE / Federal Infrastructure | Sources sought/RFI is useful for shaping | Workable deadline: 31 days,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=114ed73bb9564c69a0fa7ec61b0defe0,SAM.gov,114ed73bb9564c69a0fa7ec61b0defe0,W9128F26SM021,autocustom,Yes,2026-05-22,2026-05-22,31.0,5
